regulator	target	bootstraps
YBX1	SLC7A2	-17.0
CTCF	NTS	17.0
GATA4	FABP6	-17.0
LHX1	SCARA5	17.0
GATA5	TRPC6	17.0
ARNTL	OCIAD2	17.0
LHX1	LYPD1	-17.0
SP4	STC2	17.0
NR1H2	OAS1	17.0
MAF	MASP1	17.0
YBX1	CD70	17.0
GATA3	RTKN2	-17.0
MYCN	ARL9	17.0
GATA5	PDE11A	17.0
TWIST1	CARMIL2	17.0
MAF	CACNA2D1	17.0
LHX1	CAV2	17.0
IRF2	MARCH4	-17.0
LHX1	NR3C2	17.0
GATA4	DLG2	17.0
SP4	SAMD5	17.0
TP63	PPFIA3	17.0
MAX	TENM2	17.0
CTCF	CCDC158	17.0
CTCF	CEMIP	-17.0
MYPOP	CDC14A	-17.0
YBX1	TRIM11	17.0
YBX1	TAP2	17.0
PPARD	IL2RA	-17.0
GATA5	MYRIP	17.0
STAT1	TMC5	17.0
GATA2	LAPTM4B	-17.0
SP4	TPPP3	17.0
THRA	AQP5	17.0
LHX1	PARK2	17.0
SP4	FAM83D	-17.0
MAF	CTSV	-17.0
YBX1	HIST3H2A	17.0
LHX1	MYRIP	17.0
E2F6	KIF1A	17.0
E2F6	FBXO45	17.0
GATA2	PDLIM3	17.0
MNT	S100A3	-17.0
GATA2	NCAM2	17.0
ZNF274	NPTX2	17.0
GATA4	HIST1H4E	-17.0
E4F1	NR4A3	17.0
ZNF202	CCDC183	17.0
SIM1	VEGFA	17.0
GATA3	ART3	-17.0
TWIST1	FAM19A3	17.0
KLF15	ALDH1B1	17.0
GATA2	ZNF385D	17.0
GATA5	RAB30	17.0
GATA2	ST6GALNAC3	17.0
GATA2	CPSF4L	-17.0
PROX1	DEPDC7	17.0
SP4	GSTM3	17.0
HINFP	SOX11	-17.0
MAX	SFT2D2	-17.0
MAX	DNAJC12	17.0
MYPOP	GREB1	-17.0
GATA4	SAMD5	17.0
MAX	SLC7A2	17.0
GATA2	GPR158	-17.0
POU5F1B	FBXW10	17.0
MAX	IL20RA	17.0
LHX1	PKD1L1	17.0
LHX1	EFEMP1	17.0
EHF	HTR2C	17.0
CREB3L2	CRABP1	17.0
GATA3	NR2E3	17.0
LHX1	C3orf67	-17.0
GATA2	RIPK2	-17.0
JUN	CLEC2L	17.0
EHF	SPRR2D	17.0
MYPOP	CT45A1	17.0
SP1	DNAJC6	-17.0
FOXQ1	SLC39A12	-17.0
GATA4	NDUFS6	-16.0
MAF	CD36	16.0
PITX2	AUNIP	16.0
CTCF	KIAA0232	16.0
PITX2	EZH2	16.0
PITX2	NCAPG	16.0
YBX1	PJA2	-16.0
GATA4	ITPR1	16.0
MNT	NDUFS6	-16.0
GATA4	TEK	16.0
PITX2	MAD2L1	16.0
YBX1	TIMM17B	16.0
GATA3	RANBP3L	16.0
PITX2	ARHGAP11A	16.0
SMAD1	LRP1	16.0
GATA2	TEK	16.0
CTCF	KIF4A	-16.0
NFYB	CDC25A	16.0
CTCF	CSTB	-16.0
GATA4	KCTD12	16.0
GATA2	TMTC1	16.0
CTCF	LIFR	16.0
CTCF	SLC19A1	-16.0
YBX1	BICDL1	16.0
GATA4	MRPL36	-16.0
PITX2	NCAPH	16.0
MAF	TRHDE	16.0
NFYB	AURKB	16.0
GATA4	DMXL1	16.0
MAF	ITSN1	16.0
CTCF	HSDL2	16.0
CTCF	DBF4	-16.0
CTCF	KIAA1524	-16.0
CTCF	FZD4	16.0
CTCF	DRC3	16.0
PITX2	ORC1	16.0
GATA5	DMXL1	16.0
NFYB	ORC6	16.0
MAF	CCBE1	16.0
IRF9	OASL	16.0
MECP2	RUNX1T1	16.0
CTCF	RAD54B	-16.0
MYCN	NOSTRIN	-16.0
PITX2	SPAG5	16.0
AHR	COMTD1	16.0
CTCF	SF3B4	-16.0
GATA4	PFKFB1	16.0
GATA3	CORO2B	16.0
CTCF	HOXA7	16.0
PITX2	ZWILCH	16.0
PITX2	WDHD1	16.0
PITX2	CCDC152	-16.0
STAT1	E2F1	-16.0
REL	TRIM23	-16.0
MYCN	MRPL14	16.0
POU5F1B	POLQ	16.0
HOXB3	UQCRHL	16.0
YBX1	CCDC167	16.0
CTCF	GRASP	16.0
GATA4	SEMA6D	16.0
NFYB	UHRF1	16.0
GATA5	SH3D19	16.0
YBX1	CDK1	16.0
YBX1	TUBA1C	16.0
PPARG	ABCA8	16.0
AHR	KNL1	-16.0
MYCN	LRFN4	16.0
YBX1	PDE5A	-16.0
GATA2	KCTD12	16.0
MYCN	CBS	16.0
GATA4	UTRN	16.0
MAF	LPCAT1	-16.0
CTCF	PPARG	16.0
CTCF	CDC14B	16.0
CTCF	FAM129A	16.0
CTCF	LIMA1	16.0
LHX1	FBXL17	16.0
LHX1	FAM214A	16.0
IRF6	GPAM	-16.0
GATA5	DUSP6	16.0
MAF	ABCA8	16.0
LHX1	MND1	-16.0
NR4A2	MRPL12	16.0
MAF	MFSD2B	-16.0
CTCF	HPDL	-16.0
PLAGL1	LRWD1	16.0
MYCN	CKS2	16.0
MAF	CNRIP1	16.0
GATA2	MND1	-16.0
LHX1	UTRN	16.0
YBX1	AHNAK	-16.0
KLF12	RECK	-16.0
BHLHE40	KPNA2	-16.0
GATA3	PARPBP	-16.0
YBX1	TK1	16.0
GATA5	IRF7	-16.0
ARNTL	TSEN15	16.0
PITX2	ALDH1L1	-16.0
LHX1	ABCA9	16.0
REL	SLC25A22	16.0
GATA4	NAV3	16.0
PITX2	KIF24	16.0
GATA4	IQGAP2	16.0
PLAGL1	RPUSD1	16.0
HIVEP2	RTKN	16.0
YBX1	FZD4	-16.0
MYPOP	ADGRV1	-16.0
MAF	JAM3	16.0
MYPOP	PLPP3	-16.0
PLAGL1	CHPF	16.0
NFE2L2	PSMB2	16.0
MYPOP	EPAS1	-16.0
GATA4	EPAS1	16.0
E2F6	CENPK	16.0
MAF	MFAP5	16.0
NR2F1	KCNIP2	16.0
E4F1	RECK	16.0
GATA4	ANKRD29	16.0
IRF9	RSAD2	16.0
CTCF	PCDH19	16.0
GATA3	KCTD12	16.0
MYCN	PPM1G	16.0
MYPOP	ITPR1	-16.0
HOXC8	RHOJ	16.0
GATA4	DST	16.0
YBX1	FMO5	-16.0
MYCN	PUF60	16.0
FOXA2	DMBX1	16.0
MAF	RELN	16.0
GATA3	ANGPTL2	16.0
MYCN	FBXL6	16.0
ARNTL	DPT	-16.0
CTCF	EIF4E3	16.0
IRF6	DNAJC18	-16.0
E2F6	ZWILCH	16.0
YBX1	NDUFB9	16.0
FOXA1	TOMM5	-16.0
PITX2	CYB5D2	-16.0
GATA4	GFRA1	16.0
CTCF	SELENOP	16.0
ELK1	HAS3	-16.0
PLAGL1	CBX8	16.0
CTCF	PTK7	-16.0
GATA5	TUBB8	-16.0
SP1	DUSP6	16.0
IRF9	LAG3	16.0
TCF3	SYTL4	16.0
MYCN	EPOP	16.0
MNT	FAM13B	16.0
PLAGL1	CYBA	16.0
DLX3	LDB2	16.0
CTCF	STBD1	16.0
YBX1	EXOC3L4	16.0
CTCF	PHYHIP	16.0
STAT1	VWA5A	16.0
RUNX2	CAMP	-16.0
HOXC8	CPA1	16.0
MYCN	CBX2	16.0
GATA2	NAV3	16.0
GATA2	LRP8	-16.0
PLAGL1	GIPC1	16.0
GATA4	PDIA4	-16.0
RUNX2	GGH	-16.0
ZNF219	DCAF13	-16.0
PLAGL1	TRABD	16.0
HOXA6	SEC13	-16.0
GATA2	PFKFB1	16.0
TP53	SGSM1	16.0
POU5F1B	SLC7A11	16.0
MAF	E2F7	-16.0
GATA2	THRB	16.0
HOXA6	POLI	16.0
YBX1	PFDN2	16.0
CTCF	CLCN1	16.0
YBX1	HIST1H3G	16.0
GATA3	ERBB4	16.0
CTCF	AHNAK	16.0
NFYB	CCDC150	16.0
CTCF	FMO5	16.0
MYCN	CFAP70	-16.0
MNT	MRPL36	-16.0
FOS	KIT	-16.0
CTCF	TSC22D3	16.0
LHX1	LHFP	16.0
IRF6	PRCC	16.0
CTCF	RMI2	-16.0
IRF2	N4BP2L1	16.0
CTCF	CDKN1C	16.0
MAF	ARSG	16.0
NFE2L2	GSDMC	16.0
MAF	GNG2	16.0
YBX1	MFSD3	16.0
GATA3	NTN4	16.0
POU5F1B	IQGAP3	16.0
BHLHE40	HIF3A	16.0
GATA3	UQCRH	-16.0
MAF	OLFML1	16.0
ELF1	ADAMTS7	-16.0
BHLHE40	PDZK1	16.0
HLF	SBK1	-16.0
YBX1	MRPL12	16.0
YBX1	FANCI	16.0
MECP2	FBXL5	16.0
GATA5	FBXL17	16.0
GATA2	DCDC2	16.0
STAT1	ACOX2	16.0
CTCF	CARM1	-16.0
MYPOP	DBF4	16.0
GATA4	DDR2	16.0
CREB3L1	PLAUR	16.0
GATA3	TMEM135	16.0
TAL1	CORO1A	16.0
POU5F1B	SCARA5	-16.0
FOXA1	CKS1B	-16.0
EHF	FERMT2	-16.0
GATA2	ARL15	16.0
YBX1	BAIAP2L1	16.0
YBX1	MTFP1	16.0
MAF	HSD11B1	16.0
GATA4	LRP8	-16.0
ARNTL	APBA2	16.0
PITX2	PUS7	16.0
GATA5	HOXA6	16.0
REL	CCL20	16.0
HOXB3	TPI1	16.0
NR4A2	EIF4EBP1	16.0
ELK1	KLHL17	16.0
MNT	LPCAT1	-16.0
TFAP2A	ADCK5	16.0
TCFL5	SKP2	16.0
GATA2	NEK10	16.0
HOXB3	NPM3	16.0
NFYC	EFCAB6	-16.0
MAF	ALDH1A1	16.0
GATA2	IL1RAPL2	16.0
GATA5	THSD7B	16.0
MYCN	TTLL12	16.0
PITX2	NUDCD1	16.0
MAF	CYP3A5	16.0
TGIF2	MAPT	16.0
POU5F1B	DAPP1	16.0
CTCF	SASH1	16.0
GATA3	TACC1	16.0
SOX17	CXCL2	-16.0
MYCN	PNP	16.0
CTCF	ACBD7	-16.0
ETV1	TXNIP	-16.0
MZF1	NPM3	-16.0
E2F3	CNIH2	16.0
CTCF	DRAXIN	-16.0
TGIF2	ABCC11	16.0
PLAG1	DEUP1	-16.0
SOX17	P4HA3	16.0
TFAP2A	DNPH1	16.0
SOX17	GLMP	16.0
HIVEP2	SYNE3	-16.0
MAX	MFSD2B	-16.0
MAF	CKAP2L	-16.0
ZEB1	PDGFRL	-16.0
GATA2	NDUFB9	-16.0
MAX	DRC3	16.0
LHX1	SH3D19	16.0
GATA3	SLC35F2	-16.0
YBX1	HMGA1	16.0
ZNF219	MTERF3	-16.0
ETV1	WDR4	16.0
IRF5	RBM43	16.0
POU5F1B	CCNA2	16.0
GATA4	GRK3	16.0
ETV7	HYAL3	16.0
GATA3	NCAM2	16.0
GATA3	NEDD9	16.0
SOX10	ADCY4	16.0
GATA2	LUZP2	16.0
NFE2L2	MROH6	16.0
YBX1	GINS2	16.0
GATA3	CACNA2D1	16.0
GATA2	PACSIN3	-16.0
GATA3	APOLD1	16.0
ZNF263	KLK10	16.0
GATA4	CAPG	-16.0
GATA3	BMPER	16.0
CTCF	VAX2	-16.0
SP3	FERMT2	16.0
MNT	WISP2	-16.0
YBX1	CKAP4	16.0
PPARG	UBXN10	16.0
GATA2	SEMA6D	16.0
LHX1	ACO1	16.0
YBX1	PTS	16.0
POU5F1B	CDC6	16.0
ARNTL	MGARP	-16.0
GATA2	KNSTRN	-16.0
MYPOP	SLC6A15	16.0
MNT	NDUFA4L2	-16.0
GATA2	DIXDC1	16.0
WT1	CERS1	16.0
NFE2L2	TXN	16.0
ETV3	HSD17B6	-16.0
MAF	LTBP2	16.0
GATA5	IQGAP2	16.0
HOXD3	DHTKD1	16.0
GATA4	TMEM178A	16.0
PLAGL1	MDK	16.0
GATA4	LAMA2	16.0
GATA5	MCTP1	16.0
SOX6	ZNF492	16.0
GATA3	ANO6	16.0
LHX1	DLC1	16.0
LHX1	DCLK1	16.0
CTCF	CDK16	-16.0
YBX1	MRPL9	16.0
E2F3	ZBTB8B	16.0
LHX1	SLC1A7	16.0
GATA5	RELN	16.0
SOX10	SYTL5	16.0
GATA2	LYPD6	16.0
PPARG	PALM	16.0
NR4A2	ZNF689	-16.0
ZHX1	TWIST2	-16.0
E2F6	TFDP1	16.0
LHX1	ZEB1	16.0
GATA2	DNAH7	16.0
ZEB1	VANGL2	16.0
CTCF	COL22A1	-16.0
YBX1	HIST1H3B	16.0
CTCF	CHI3L2	-16.0
GATA4	ANO6	16.0
E4F1	ISM1	16.0
ZNF263	C6orf15	16.0
YBX1	PCDH19	-16.0
MAF	MGLL	16.0
GATA2	C11orf87	16.0
E2F4	HSPB8	-16.0
YBX1	HIST1H3C	16.0
GATA4	HIST1H2BE	-16.0
TFDP1	BAIAP3	-16.0
BACH1	TRIM59	16.0
LHX1	MKL2	16.0
NFYC	NRM	16.0
TBX3	PIGR	-16.0
EHF	TNIP3	16.0
YBX1	GPR143	16.0
LHX1	PRDM5	16.0
LHX1	RBMS3	16.0
SP4	IL2RG	-16.0
TFCP2	PDK3	16.0
GATA4	PCSK5	16.0
ATF3	WNT10A	-16.0
CTCF	ZYG11A	-16.0
MNT	ARSG	16.0
GATA3	COBLL1	16.0
RFX7	GPR37	-16.0
MYPOP	NHSL2	-16.0
TCF7L2	CYP4F12	-16.0
CTCF	GSTM3	16.0
SP1	PLPP3	16.0
SP1	LHFP	16.0
GATA5	CDH19	16.0
YBX1	TMEM105	16.0
ZNF274	PCSK1	16.0
MYPOP	C14orf132	-16.0
GATA4	INPP4B	16.0
ARNTL	HPRT1	16.0
CTCF	PODXL2	-16.0
LHX1	DCBLD1	-16.0
MAX	MRPL15	-16.0
GATA5	EGF	16.0
AHR	NCAPG2	-16.0
DLX3	AQP1	16.0
GATA4	RASGRF2	16.0
LHX1	SYNPO2	16.0
WT1	DIRAS1	16.0
GATA4	PRKG1	16.0
CTCF	MGARP	16.0
MYCN	DLL3	16.0
MAF	SMS	-16.0
CTCF	SHMT2	-16.0
GATA2	RELL2	-16.0
CTCF	VSIG2	16.0
GATA2	CRIM1	16.0
GATA3	PDE7B	16.0
NFE2L1	CEP85	16.0
ZEB1	NCCRP1	16.0
GATA5	TNFSF13B	-16.0
TEAD1	IGFL1	16.0
GATA3	ACSL1	16.0
GATA4	ACO1	16.0
GATA3	CDC123	-16.0
WT1	UCHL1	16.0
GATA3	TMEM232	16.0
MYPOP	DLX4	16.0
GATA2	TAGLN2	-16.0
SP4	PIM2	-16.0
MAF	IL6	16.0
RBPJ	CRABP2	16.0
MAX	AFF3	16.0
SP1	C14orf132	16.0
MYPOP	WT1	16.0
NR2C2	MTURN	-16.0
DLX3	MFAP5	16.0
MAF	DBNDD1	-16.0
ARNTL	GRB14	16.0
GATA3	THBS4	16.0
MYPOP	HMMR	16.0
GATA2	FGF14	16.0
LHX1	APOLD1	16.0
SP1	RTKN2	-16.0
GATA3	NUDT5	-16.0
JUN	NKAIN1	16.0
SP1	SHC4	-16.0
GATA5	CARD17	-16.0
DDIT3	RASGRF1	16.0
GATA4	RNFT2	-16.0
GATA4	BMPER	16.0
SOX6	CXCR4	16.0
SOX10	FILIP1L	16.0
TFAP2E	SYN1	-16.0
SIX3	GALNT13	16.0
YBX1	SLC12A8	16.0
ARNTL	TRIM69	16.0
CTCF	LIN28B	-16.0
GATA3	ANO3	16.0
SOX4	MOCOS	-16.0
GATA3	GRIA1	16.0
SP4	TAP2	-16.0
NFE2L1	NPC1L1	-16.0
GATA4	EGR2	16.0
SP4	ABTB2	-16.0
LHX1	CTSV	-16.0
CTCF	GRM2	-16.0
GATA5	TG	-16.0
LHX1	LONRF2	16.0
EHF	ADGRF4	16.0
GATA3	ZNF385B	16.0
FOXQ1	SPRR1B	16.0
XBP1	DKKL1	16.0
MNT	LYPD1	-16.0
MAF	ABCA13	-16.0
HOXB6	CDH19	16.0
STAT5B	CCL11	16.0
CTCF	BPI	-16.0
YBX1	RIPPLY2	16.0
MAX	PDE1C	16.0
SP3	PRTFDC1	16.0
MAX	KCNQ3	-16.0
NFIL3	CHI3L1	16.0
LHX6	SHC4	-16.0
SP1	TEX15	-16.0
GATA4	DNAH11	-16.0
EHF	PPM1E	-16.0
GATA2	ABTB2	-16.0
SP4	RARRES1	-16.0
HOXB8	CCK	16.0
CTCF	SKA3	-15.0
CTCF	TPRG1	15.0
MAF	ABCB1	15.0
CTCF	UBE2S	-15.0
CTCF	NEK2	-15.0
AHR	PRR11	-15.0
GATA4	ZEB1	15.0
CTCF	TTC28	15.0
PITX2	FOXM1	15.0
MAF	AOX1	15.0
CTCF	RHOU	15.0
NFYB	TTK	15.0
HOXB3	GCNT4	-15.0
MYCN	FAM72B	15.0
PITX2	DTL	15.0
NFYB	TPX2	15.0
ARNTL	TAL1	-15.0
CTCF	PRR11	-15.0
PITX2	RAD51	15.0
PITX2	UBE2T	15.0
NFYB	GINS1	15.0
GATA4	POC1A	-15.0
FOXA1	SCUBE2	15.0
MYCN	LRWD1	15.0
YBX1	MYOCD	-15.0
MAF	ABCA9	15.0
GATA5	ABCB1	15.0
MAF	CPED1	15.0
ZNF219	MRPL13	-15.0
MAF	MSH2	-15.0
SP4	CORO2B	15.0
FOXA1	ARHGAP20	15.0
YBX1	TTC28	-15.0
MAX	FAM49B	-15.0
LHX1	EBF1	15.0
PITX2	GNG11	-15.0
GATA4	MME	15.0
CTCF	FGF1	15.0
HLF	ACVR1C	15.0
MYCN	PDSS1	15.0
PITX2	COX7A1	-15.0
FOXA1	RUNX1T1	15.0
IRF9	TAP1	15.0
ARNTL	PJA2	-15.0
FOXJ3	CDK1	15.0
IRF6	ZNF483	-15.0
MAF	NEIL3	-15.0
PLAGL1	LRRC45	15.0
ZSCAN4	FAM58A	-15.0
GATA3	SGO1	-15.0
MYCN	PUS1	15.0
PITX2	MTHFD2	15.0
NFYB	FAM189B	15.0
CTCF	PHGDH	-15.0
YBX1	PKM	15.0
HOXC8	HSPB6	15.0
ARNTL	GALK1	15.0
FOXA1	FMOD	15.0
HOXC8	NR5A2	15.0
PITX2	LMNB1	15.0
AHR	HMMR	-15.0
NFYB	ERCC6L	15.0
CTCF	GRAMD1C	15.0
GATA3	MAST4	15.0
HOXC8	AURKB	-15.0
SIX2	CENPO	15.0
MYCN	SAP30	15.0
YBX1	PAFAH1B3	15.0
ZEB1	MITF	-15.0
LHX1	GMDS	-15.0
FOXA2	CDO1	-15.0
SOX17	C3orf18	-15.0
TCFL5	CENPL	15.0
NFYB	EZH2	15.0
FOXA1	ADAMTS15	15.0
REL	FAM161B	-15.0
MYPOP	DST	-15.0
TCF3	CD34	15.0
MAF	NHSL2	15.0
FOS	PLAUR	15.0
MECP2	DNAJC9	-15.0
HOXD4	MRPL14	-15.0
MYCN	ECE2	15.0
IRF6	S100P	15.0
HOXC8	TACC3	-15.0
PITX2	GIPC2	-15.0
NFE2L2	SH3BGRL2	-15.0
CTCF	PSD2	15.0
CTCF	FAM149A	15.0
YBX1	LSM4	15.0
ZEB1	PKP3	15.0
MYCN	CFL1	15.0
MAF	SETBP1	15.0
TCF3	GALNT15	15.0
HOXB3	CARM1	15.0
MYCN	RANBP1	15.0
IRF9	STAT1	15.0
PITX2	HSPA14	15.0
GATA3	WISP2	15.0
MAF	G0S2	15.0
TFEC	RBP7	15.0
FOXA1	CLSTN2	15.0
PPARG	HSPB7	15.0
FOXA1	SEC61G	-15.0
PLAGL1	MIF	15.0
YBX1	RNF180	-15.0
CTCF	PLSCR4	15.0
MYCN	CAB39L	-15.0
FOXC2	FABP4	15.0
NR2F1	GPR146	15.0
MAF	C7	15.0
MZF1	LBHD1	-15.0
GATA5	RGS19	-15.0
E2F5	TEX30	15.0
CTCF	EGFLAM	15.0
PLAGL1	TOP1MT	15.0
ZEB1	PDZK1IP1	15.0
IRF6	RABIF	15.0
ARNTL	MDGA2	15.0
MAF	FLRT2	15.0
PITX2	ISLR2	-15.0
TCFL5	INCENP	15.0
CTCF	PGBD5	-15.0
SOX11	TEK	15.0
E2F6	ARHGAP11B	15.0
MYCN	UBQLN4	15.0
BARX2	RELT	-15.0
MYPOP	COA6	15.0
CTCF	TTC23L	15.0
MYCN	LSM2	15.0
ETV1	POLD1	15.0
GATA2	MME	15.0
LHX1	LRRC2	15.0
YBX1	ZEB2	-15.0
GATA2	ARRB1	15.0
NR2E3	CKAP5	15.0
SOX10	STK32B	15.0
GATA3	LIMA1	15.0
FOXA1	ARPC5L	-15.0
HOXB3	MSX2	-15.0
CTCF	DRP2	-15.0
CTCF	CDC14A	15.0
CTCF	CFAP61	15.0
PLAGL1	GNB1L	15.0
MAF	FYCO1	15.0
E2F4	PTRF	-15.0
ELF1	NFKBIB	-15.0
PITX2	MYOM2	-15.0
KLF5	KIAA1109	-15.0
YBX1	CDCA4	15.0
MNT	FAM196B	15.0
MYCN	MTERF3	15.0
E4F1	ADGRD1	15.0
CTCF	ACBD4	15.0
STAT5B	TDO2	15.0
IRF6	RUSC1	15.0
PROX1	TPM3	15.0
REL	DNAJB11	15.0
YBX1	MXD3	15.0
YBX1	COTL1	15.0
PLAG1	PLA2G16	15.0
CTCF	MMP28	15.0
HOXD10	SNCA	15.0
GATA3	CPED1	15.0
CTCF	TMEM65	-15.0
HINFP	CEP68	15.0
TCF3	SLC35G2	15.0
GATA2	HN1	-15.0
GATA2	LAMA2	15.0
ETV1	GPX3	-15.0
ARNTL	PRAME	15.0
GATA2	CRY2	15.0
ZEB1	KRTCAP3	15.0
RUNX2	B3GALT1	15.0
CTCF	TMEM97	-15.0
IRF8	FBXL19	-15.0
HOXD10	AKAP6	15.0
ARNTL	TRIM59	15.0
PPARG	SLC7A10	15.0
BARX1	TUBB4A	-15.0
GATA2	RGS5	15.0
MAF	CASQ2	15.0
PLAGL1	C14orf80	15.0
RUNX2	PNP	-15.0
SIX2	CHAF1B	15.0
CTCF	YWHAZ	-15.0
SP4	NOVA1	15.0
LHX1	ANKRD29	15.0
CTCF	GARS	-15.0
CTCF	RIPK2	-15.0
GATA3	HOXA5	15.0
ZNF202	LTBP4	15.0
NR4A2	SLC39A6	-15.0
PPARG	MRPL15	-15.0
CDX2	TSPAN1	15.0
YBX1	ISG15	15.0
CTCF	CALCOCO1	15.0
NFE2L2	PRDX1	15.0
TCF3	HSPB8	15.0
ZNF148	MMP14	15.0
TGIF2	MUC6	15.0
GATA3	PCDH19	15.0
GATA3	AXIN2	15.0
ELK4	SHROOM4	-15.0
YBX1	NACC1	15.0
SOX17	CMYA5	-15.0
NFE2L1	F5	15.0
LHX1	PTPN21	15.0
GATA2	MAST4	15.0
YBX1	POLI	-15.0
MYCN	CTXN1	15.0
MSC	RSAD2	15.0
SOX11	ADAMTS1	15.0
PROX1	CCDC150	15.0
GATA2	PRTG	15.0
SRF	ACTA1	15.0
NR2F1	KLB	15.0
SMAD3	UNC5B	15.0
TWIST1	BAIAP2L2	15.0
MAX	YWHAZ	-15.0
ELK4	LDB3	-15.0
MNT	DTYMK	-15.0
E2F6	KIAA1841	15.0
GATA2	GLDN	15.0
SOX10	THSD4	15.0
